Stations_ID;Von_Datum;Bis_Datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland
03660; 19950306; 20160229;            485;     50.3602;    6.8697; Nürburg-Barweiler                     ;Rheinland-Pfalz
03666; 19340101; 19741231;            335;     49.5008;   11.1070; Nürnberg-Buchenbuehl                  ;Bayern
03667; 19750101; 20111231;            369;     49.4258;   11.2539; Nürnberg-Netzstall                    ;Bayern
03668; 18790101; 20220531;            314;     49.5030;   11.0549; Nürnberg                              ;Bayern
03671; 19550101; 19910331;            280;     48.6321;    9.3261; Nürtingen                             ;Baden-Württemberg
03672; 19480501; 19541231;            457;     48.6207;    8.8962; Nufringen                             ;Baden-Württemberg
03679; 19500101; 20111231;            518;     47.6187;   12.1665; Kiefersfelden-Gach                    ;Bayern
03694; 19500601; 19711231;            810;     50.7005;   10.7256; Oberhof                               ;Thüringen
03702; 19720101; 20061231;            515;     47.8780;    7.8288; Münstertal-Obermünstertal             ;Baden-Württemberg
03705; 19820701; 20041231;            475;     48.3147;    8.5735; Oberndorf/Neckar-Aistaig              ;Baden-Württemberg
03722; 19760401; 20111119;            484;     48.2443;   11.5528; Oberschleißheim                       ;Bayern
03727; 19831001; 20010930;            800;     47.5619;   10.0313; Oberstaufen-Kalzhofen                 ;Bayern
03730; 19100101; 20131231;            806;     47.3984;   10.2759; Oberstdorf                            ;Bayern
03734; 20040701; 20111231;            230;     49.1280;    9.3525; Obersulm-Willsbach                    ;Baden-Württemberg
03735; 19360701; 19581231;            455;     48.2635;   12.2760; Obertaufkirchen                       ;Bayern
03739; 19481001; 20111231;            596;     49.4521;   12.4365; Oberviechtach                         ;Bayern
03744; 19711201; 19750630;            125;     51.6018;    9.5383; Oberweser-Gieselwerder                ;Hessen
03751; 19880601; 19971231;            626;     48.0449;    9.8822; Ochsenhausen-Mittelbuch               ;Baden-Württemberg
03752; 19590901; 19820930;           1014;     50.0300;   11.8074; Ochsenkopf                            ;Bayern
03753; 19640101; 19930331;             56;     52.2042;    7.1784; Ochtrup                               ;Nordrhein-Westfalen
03761; 19490101; 20100831;            276;     49.2070;    9.5176; Öhringen                              ;Baden-Württemberg
03776; 19571101; 19951031;            110;     50.0946;    8.7546; Offenbach/M. (Stadt)                  ;Hessen
03777; 19660101; 20031231;            153;     48.4593;    7.9255; Offenburg                             ;Baden-Württemberg
03788; 19600601; 19851231;            305;     50.8646;   14.7628; Olbersdorf                            ;Sachsen
03790; 18920101; 19890930;              5;     53.1018;    8.2516; Oldenburg (A)                         ;Niedersachsen
03791; 19891001; 20091231;             11;     53.1763;    8.1824; Oldenburg                             ;Niedersachsen
03811; 19411001; 20080831;            150;     51.2960;   13.0928; Oschatz                               ;Sachsen
03815; 19520201; 20011202;             95;     52.2553;    8.0534; Osnabrück                             ;Niedersachsen
03825; 19610101; 19771231;            338;     49.5033;    7.2773; Osterhof                              ;Saarland
03836; 19720501; 20111231;            314;     50.4538;   10.2211; Ostheim v.d. Rhön                     ;Bayern
03856; 19490101; 19930630;           1010;     47.6383;   10.4313; Oy-Mittelberg                         ;Bayern
03857; 19931001; 20111231;            886;     47.6362;   10.3892; Oy-Mittelberg-Petersthal              ;Bayern
03867; 19500101; 19561231;              7;     53.0643;    7.4814; Papenburg                             ;Niedersachsen
03875; 19500101; 20111231;            549;     49.1510;   11.6896; Parsberg/Oberpfalz-Eglwang            ;Bayern
03878; 19450101; 19571231;            329;     48.5805;   13.4152; Passau-Maierhof                       ;Bayern
03879; 19490101; 19970103;            409;     48.5779;   13.4694; Passau-Oberhaus                       ;Bayern
03883; 19700301; 19980131;            442;     50.5999;   11.9966; Pausa-Unterreichenau                  ;Sachsen
03903; 19510101; 20040930;            175;     49.5114;    6.3857; Perl-Besch                            ;Saarland
03904; 19650101; 20111231;            152;     49.5354;    6.3789; Perl-Nennig                           ;Saarland
03922; 19751101; 20010630;            435;     49.1162;   10.8598; Pfofeld-Langlau                       ;Bayern
03924; 19490101; 20050831;            246;     48.9059;    8.7412; Pforzheim-Eutingen                    ;Baden-Württemberg
03925; 20050901; 20111231;            332;     48.9329;    8.6973; Pforzheim-Ispringen                   ;Baden-Württemberg
03927; 19580101; 20111231;            630;     47.9345;    9.2869; Pfullendorf                           ;Baden-Württemberg
03929; 19490101; 19850930;            100;     49.2511;    8.4415; Philippsburg                          ;Baden-Württemberg
03939; 19510101; 20111231;            385;     49.1912;    7.5879; Pirmasens                             ;Rheinland-Pfalz
03946; 18820101; 20010331;            387;     50.4818;   12.1300; Plauen                                ;Sachsen
03955; 19500101; 19970131;             24;     54.1590;   10.4020; Plön (See)                            ;Schleswig-Holstein
03974; 19490301; 19930630;            368;     49.5058;   11.5142; Pommelsbrunn                          ;Bayern
03975; 19930901; 20111231;            522;     49.4777;   11.5357; Pommelsbrunn-Mittelburg               ;Bayern
03987; 18930101; 20201130;             81;     52.3812;   13.0622; Potsdam                               ;Brandenburg
03988; 18930101; 20191231;             81;     52.3822;   13.0622; Potsdam (Säkularstation)              ;Brandenburg
04005; 19490101; 19571231;            530;     47.8588;   12.3624; Prien-Stock                           ;Bayern
04018; 19510101; 19830831;            550;     48.1877;   11.2206; Puch                                  ;Bayern
04024; 18600101; 20000630;             40;     54.3643;   13.4771; Putbus                                ;Mecklenburg-Vorpommern
04029; 19470101; 19571231;             25;     52.6691;    7.9544; Quakenbrück                           ;Niedersachsen
04032; 19450101; 20111231;            142;     51.7953;   11.1320; Quedlinburg                           ;Sachsen-Anhalt
04036; 19530601; 20111231;            204;     51.3895;   11.5412; Querfurt-Mühle Lodersleben            ;Sachsen-Anhalt
04038; 19470101; 19770630;             27;     53.7276;    9.9071; Quickborn (Kurzer Kamp)               ;Schleswig-Holstein
04039; 19741201; 20000630;             11;     53.7331;    9.8776; Quickborn                             ;Schleswig-Holstein
04053; 19530101; 19961231;            407;     47.7458;    9.0007; Radolfzell-Markelfingen               ;Baden-Württemberg
04063; 19510101; 20111231;             41;     52.4461;    8.5906; Rahden-Kleinendorf                    ;Nordrhein-Westfalen
04066; 19861101; 19990131;            553;     47.9091;   11.1048; Raisting                              ;Bayern
04079; 19910101; 20050630;            200;     51.1765;   11.4183; Rastenberg                            ;Thüringen
04091; 19620701; 19980630;           1640;     47.7327;   12.6827; Rauschberg bei Ruhpolding             ;Bayern
04094; 19510101; 20111231;            441;     47.8062;    9.6206; Weingarten, Kr. Ravensburg            ;Baden-Württemberg
04100; 19540101; 19731231;            109;     51.6243;    7.1820; Recklinghausen                        ;Nordrhein-Westfalen
04104; 18790101; 20140124;            365;     49.0425;   12.1019; Regensburg                            ;Bayern
04125; 18970101; 20061130;            470;     47.7238;   12.8740; Reichenhall, Bad                      ;Bayern
04127; 19911001; 20111231;            347;     50.9906;    7.6958; Reichshof-Eckenhagen                  ;Nordrhein-Westfalen
04149; 19470101; 19640331;            774;     50.5477;   13.2238; Marienberg-Reitzenhain                ;Sachsen
04152; 19710101; 19771231;            760;     47.6783;    8.1527; Remetschwiel                          ;Baden-Württemberg
04154; 20110201; 20111231;            345;     51.1800;    7.2505; Remscheid-Lennep                      ;Nordrhein-Westfalen
04156; 19731001; 19980228;              8;     54.2878;    9.6749; Rendsburg                             ;Schleswig-Holstein
04157; 19850601; 20031130;            315;     50.5052;    7.4881; Rengsdorf (Kurort)                    ;Rheinland-Pfalz
04160; 19701222; 20111223;            478;     48.7425;    8.9240; Renningen-Ihinger Hof                 ;Baden-Württemberg
04166; 19880501; 20021231;            360;     48.5051;    9.1833; Reutlingen-Betzingen                  ;Baden-Württemberg
04169; 19580101; 20111231;            131;     48.6703;    7.9939; Rheinau-Memprechtshofen               ;Baden-Württemberg
04175; 19530901; 20111231;            283;     47.5590;    7.7721; Rheinfelden                           ;Baden-Württemberg
04177; 19490101; 20180727;            116;     48.9726;    8.3301; Rheinstetten                          ;Baden-Württemberg
04189; 20040801; 20111231;            534;     48.1479;    9.4596; Altheim, Kreis Biberach               ;Baden-Württemberg
04222; 19630101; 20060131;            464;     50.5263;   12.4091; Rodewisch                             ;Sachsen
04233; 19490101; 19531130;            397;     50.3833;    9.5167; Röhrigshof bei Schlüchtern            ;Hessen
04240; 19480101; 19920930;            440;     50.6407;    6.2058; Roetgen                               ;Nordrhein-Westfalen
04261; 19500101; 20111231;            442;     47.8753;   12.1280; Rosenheim                             ;Bayern
04270; 19000101; 19651231;             20;     54.0826;   12.1228; Rostock                               ;Mecklenburg-Vorpommern
04271; 19510101; 20161122;              5;     54.1803;   12.0808; Rostock-Warnemünde                    ;Mecklenburg-Vorpommern
04275; 19460101; 20110117;             32;     53.1288;    9.3398; Rotenburg (Wümme)                     ;Niedersachsen
04278; 19510101; 20081231;            340;     49.2511;   11.0934; Roth bei Nürnberg                     ;Bayern
04287; 19490101; 20111231;            415;     49.3849;   10.1732; Rothenburg ob der Tauber              ;Bayern
04288; 19510101; 19750831;             96;     52.1038;    8.1809; Rothenfelde, Bad                      ;Niedersachsen
04293; 19580101; 20051130;            747;     47.6819;   11.7714; Rottach-Egern                         ;Bayern
04294; 19790701; 20021031;            360;     48.4704;    8.9687; Rottenburg-Kiebingen                  ;Baden-Württemberg
04300; 19570201; 20111231;            589;     48.1815;    8.6356; Rottweil                              ;Baden-Württemberg
04301; 19510101; 20111231;            102;     49.8502;    7.8710; Kreuznach, Bad                        ;Rheinland-Pfalz
04318; 19710601; 20061231;            692;     47.7310;   12.6610; Ruhpolding                            ;Bayern
04320; 19880601; 19920930;             36;     54.0934;   10.2223; Ruhwinkel                             ;Schleswig-Holstein
04323; 19690101; 20111231;            461;     49.6468;    7.8837; Ruppertsecken                         ;Rheinland-Pfalz
04327; 19530301; 19710716;            797;     48.8765;   13.0490; Rusel-Irlmoos                         ;Bayern
04330; 19520101; 19800331;            449;     48.8026;    8.9557; Rutesheim                             ;Baden-Württemberg
04336; 19510101; 20220531;            319;     49.2128;    7.1077; Saarbrücken-Ensheim                   ;Saarland
04339; 19510101; 20010331;            193;     49.2231;    7.0168; Saarbrücken-Sankt Johann              ;Saarland
04343; 19790101; 19970930;            180;     49.3256;    6.7354; Saarlouis                             ;Saarland
04347; 19480101; 20000131;            292;     51.5909;   10.5691; Sachsa, Bad                           ;Niedersachsen
04349; 19871101; 20111231;            251;     48.9569;    9.0711; Sachsenheim                           ;Baden-Württemberg
04350; 19660101; 20081231;            339;     47.5619;    7.9399; Säckingen, Bad (Bergseestr.)          ;Baden-Württemberg
04354; 19850901; 20111231;            457;     48.7832;   13.3146; Saldenburg-Entschenreuth              ;Bayern
04364; 19650101; 19991231;            138;     52.0355;   10.3054; Salzgitter-Ringelheim                 ;Niedersachsen
04367; 19920401; 20061231;            175;     52.0781;    9.5520; Salzhemmendorf-Lauenstein             ;Niedersachsen
04371; 19500101; 20061001;            135;     52.1042;    8.7521; Salzuflen, Bad                        ;Nordrhein-Westfalen
04373; 19360115; 19661231;             29;     52.8568;   11.1319; Salzwedel                             ;Sachsen-Anhalt
04377; 19650101; 20111231;            518;     50.3518;   10.0034; Sandberg                              ;Bayern
04386; 19490101; 20061231;            795;     47.7610;    8.1247; Sankt Blasien                         ;Baden-Württemberg
04390; 19630101; 20041231;            896;     48.0091;    8.0966; Sankt Märgen                          ;Baden-Württemberg
04391; 19510401; 19691031;              3;     53.9878;    9.1125; Sankt Michaelisdonn                   ;Schleswig-Holstein
04393; 19510101; 20180409;              5;     54.3279;    8.6031; Sankt Peter-Ording                    ;Schleswig-Holstein
04396; 19510101; 19601231;            400;     49.4672;    7.2036; Sankt Wendel-Hof                      ;Saarland
04397; 19780201; 20051231;            400;     49.5025;    7.2020; Sankt Wendel-Urweiler                 ;Saarland
04401; 19510101; 19800630;             81;     51.6334;    8.1872; Sassendorf, Bad-Ostinghausen          ;Nordrhein-Westfalen
04411; 19791201; 20111231;            155;     49.9195;    8.9671; Schaafheim-Schlierbach                ;Hessen
04419; 19490101; 20041231;            212;     47.9557;    7.7133; Schallstadt-Mengen                    ;Baden-Württemberg
04425; 19510101; 19651231;            569;     49.4864;    7.0290; Schaumberg-Tholey                     ;Saarland
04429; 19811201; 19940831;            778;     47.5880;    9.8500; Scheidegg                             ;Bayern
04433; 19870101; 20041231;            519;     48.1994;    9.7700; Schemmerhofen-Ingerkingen             ;Baden-Württemberg
04436; 19490101; 19511231;            314;     50.8166;    9.8460; Schenklengsfeld                       ;Hessen
04438; 19921201; 20061231;            317;     49.9750;   11.0395; Scheßlitz                             ;Bayern
04442; 19810101; 20071231;            155;     51.9119;    9.1533; Schieder                              ;Nordrhein-Westfalen
04445; 19021201; 20111231;            609;     51.7658;   10.6533; Wernigerode-Schierke                  ;Sachsen-Anhalt
04464; 19510401; 20010331;            501;     50.5679;   11.8041; Schleiz                               ;Thüringen
04466; 19470101; 20191101;             43;     54.5275;    9.5487; Schleswig                             ;Schleswig-Holstein
04468; 19530101; 19730731;             19;     54.5227;    9.5649; Schleswig-Stadtfeld                   ;Schleswig-Holstein
04469; 19380201; 19701231;            399;     50.5071;   10.7620; Schleusingen                          ;Thüringen
04471; 19790101; 19850731;            780;     47.7358;   11.8505; Schliersee (A)                        ;Bayern
04474; 19540101; 19731231;            170;     49.7961;    7.7583; Schlossböckelheim                     ;Rheinland-Pfalz
04477; 19570101; 20050930;            993;     47.8208;    8.1860; Schluchsee                            ;Baden-Württemberg
04479; 19540101; 19850930;            375;     50.3849;    9.5358; Schlüchtern-Kloster Gomfritz          ;Hessen
04480; 19851001; 20111231;            230;     50.3447;    9.5533; Schlüchtern-Herolz                    ;Hessen
04484; 19610101; 19710331;             45;     53.6615;   10.2543; Schmalenbeck                          ;Schleswig-Holstein
04485; 20050201; 20111231;            296;     50.7250;   10.4539; Schmalkalden, Kurort                  ;Thüringen
04490; 19660101; 20021231;            223;     49.4149;    6.8360; Schmelz-Hüttersdorf                   ;Saarland
04496; 19550101; 19741231;             95;     51.6826;   12.7348; Schmiedeberg, Bad                     ;Sachsen-Anhalt
04501; 19360101; 20040909;            938;     50.6545;   10.7696; Schmücke                              ;Thüringen
04505; 19510101; 19870131;            650;     50.4988;   12.4534; Schnarrtanne-Vogelsgrün               ;Sachsen
04508; 19530101; 20111231;            649;     50.2968;    6.4194; Schneifelforsthaus                    ;Rheinland-Pfalz
04517; 19510101; 20041231;            635;     48.7859;    8.6451; Schömberg, Kr. Calw                   ;Baden-Württemberg
04548; 20070701; 20111231;            608;     50.1847;   12.0791; Schönwald/Ofr.-Brunn                  ;Bayern
04549; 19770501; 20100923;           1021;     48.1002;    8.1969; Schönwald/Schwarzwald                 ;Baden-Württemberg
04556; 19730101; 20000831;            904;     48.1402;    8.1991; Schonach                              ;Baden-Württemberg
04557; 19530101; 20021031;            399;     47.6464;    7.8440; Schopfheim-Eichen                     ;Baden-Württemberg
04559; 19960501; 20111231;            398;     49.1644;   12.6175; Schorndorf-Knöbling                   ;Bayern
04560; 19490101; 20111231;            265;     50.4925;    9.1226; Schotten                              ;Hessen
04571; 19690601; 19970331;            504;     51.8369;   10.4312; Schulenberg                           ;Niedersachsen
04576; 19770401; 19810731;            343;     49.3261;   11.0120; Schwabach (A)                         ;Bayern
04581; 19510101; 20021031;            415;     48.7768;    9.8025; Schwäbisch Gmünd-Strassdorf           ;Baden-Württemberg
04582; 19830401; 20010731;            358;     49.0823;    9.6892; Schwäbisch Hall-Bibersfeld            ;Baden-Württemberg
04584; 19700401; 19790531;            444;     48.3667;   11.8000; Schwaigermoos                         ;Bayern
04586; 19910101; 19980630;            320;     50.1394;    8.0627; Schwalbach, Bad                       ;Hessen
04592; 19551021; 20111231;            356;     49.3278;   12.0871; Schwandorf                            ;Bayern
04593; 19950701; 19991130;            117;     51.9639;   11.1208; Schwanebeck                           ;Sachsen-Anhalt
04597; 19490101; 20101231;            792;     47.5769;   10.7181; Schwangau-Horn                        ;Bayern
04605; 19490705; 20111231;            277;     50.6441;   11.1936; Schwarzburg                           ;Thüringen
04606; 19600101; 19770430;            116;     51.5167;   14.3500; Schwarze Pumpe                        ;Brandenburg
04612; 19360101; 19450228;            418;     50.5513;   12.7678; Schwarzenberg                         ;Sachsen
04621; 19580501; 20031231;            240;     50.0575;   10.2160; Schweinfurt-Gartenstadt               ;Bayern
04625; 19000101; 20130131;             59;     53.6424;   11.3871; Schwerin                              ;Mecklenburg-Vorpommern
04629; 19740701; 19991130;             37;     54.5166;    9.1420; Schwesing                             ;Schleswig-Holstein
04642; 19761001; 20160901;             21;     52.8911;   11.7297; Seehausen                             ;Sachsen-Anhalt
04649; 19470101; 19560531;            214;     50.8698;    7.3228; Seelscheid                            ;Nordrhein-Westfalen
04651; 19470101; 20111231;            186;     51.9040;   10.1885; Seesen                                ;Niedersachsen
04656; 19510101; 19730630;             49;     53.9278;   10.2993; Segeberg, Bad                         ;Schleswig-Holstein
04664; 19490101; 20000630;            611;     50.1969;   12.1727; Selb/Oberfranken-Wildenau             ;Bayern
04692; 19500101; 20071231;            229;     50.8534;    7.9966; Siegen (Kläranlage)                   ;Nordrhein-Westfalen
04703; 19510101; 20111231;            581;     48.0719;    9.1943; Sigmaringen-Laiz                      ;Baden-Württemberg
04704; 19880501; 20111231;            508;     47.5776;    9.7404; Sigmarszell-Zeisertsweiler            ;Bayern
04705; 19490101; 19531210;            819;     49.7595;   12.3891; Silberhütte                           ;Bayern
04706; 19810101; 20111231;            358;     48.2718;   13.0273; Simbach/Inn                           ;Bayern
04709; 19790401; 20111031;            445;     49.9996;    7.5981; Simmern-Wahlbach                      ;Rheinland-Pfalz
04729; 19890701; 20040229;            342;     50.2882;    9.4583; Steinau-Seidenroth                    ;Hessen
04741; 19470101; 20021231;            152;     51.1400;    7.0930; Solingen-Hohenscheid                  ;Nordrhein-Westfalen
04745; 19350101; 20021231;             75;     52.9604;    9.7930; Soltau                                ;Niedersachsen
04748; 18610401; 20101225;            185;     51.3691;   10.8800; Sondershausen                         ;Thüringen
04752; 19510101; 20010331;            626;     50.3746;   11.1828; Sonneberg-Neufang                     ;Thüringen
04763; 19610101; 20111231;            265;     51.0607;    9.9266; Sontra                                ;Hessen
04765; 19510101; 19801231;            199;     51.2800;    9.9847; Sooden-Allendorf, Bad                 ;Hessen
04775; 19520101; 19651231;            424;     49.7858;   11.8211; Speinshart                            ;Bayern
04782; 19910101; 19911231;             87;     51.6040;   12.1093; Spören-Prussendorf                    ;Sachsen-Anhalt
04818; 19640401; 20001231;            597;     50.1531;   11.7402; Stammbach-Querenbach                  ;Bayern
04837; 19851201; 19900930;            363;     47.9869;    7.9466; Stegen                                ;Baden-Württemberg
04841; 19981001; 20111231;             -0;     53.6946;    8.8735; Steinau, Kr. Cuxhaven                 ;Niedersachsen
04847; 19700101; 19751231;            500;     51.3629;    9.6902; Steinberg                             ;Niedersachsen
04857; 19901101; 20111231;              2;     53.5534;    9.6097; Mittelnkirchen-Hohenfelde             ;Niedersachsen
04878; 19300101; 20111231;            504;     51.6646;   10.8811; Oberharz am Brocken-Stiege            ;Sachsen-Anhalt
04881; 19771001; 19940731;            532;     47.8591;    9.0152; Stockach                              ;Baden-Württemberg
04887; 19490101; 20170625;            734;     48.6656;    9.8648; Stötten                               ;Baden-Württemberg
04896; 19741201; 20111231;             40;     54.6654;    9.8050; Wagersrott                            ;Schleswig-Holstein
04911; 19490501; 20090930;            351;     48.8275;   12.5597; Straubing                             ;Bayern
04926; 19490101; 20111231;            224;     48.7896;    9.2167; Stuttgart (Neckartal)                 ;Baden-Württemberg
04927; 19510101; 19840731;            286;     48.7693;    9.1814; Stuttgart-Stadt                       ;Baden-Württemberg
04928; 19580101; 20000630;            314;     48.8281;    9.2000; Stuttgart (Schnarrenberg)             ;Baden-Württemberg
04931; 19530101; 20220531;            371;     48.6883;    9.2235; Stuttgart-Echterdingen                ;Baden-Württemberg
04933; 19440101; 19770630;            401;     48.7091;    9.2147; Stuttgart-Hohenheim                   ;Baden-Württemberg
04966; 19460901; 19571231;            415;     50.8696;   10.5106; Tabarz/Thüringer Wald                 ;Thüringen
04977; 19930101; 20020430;             45;     52.5447;   11.9724; Tangermünde                           ;Sachsen-Anhalt
04978; 19860101; 20111231;            395;     50.6390;   10.0228; Tann/Rhön                             ;Hessen
04987; 19860501; 20040630;            179;     49.6122;    9.6747; Tauberbischofsheim-Dittigheim         ;Baden-Württemberg
04996; 19490101; 19991031;            837;     47.7099;   11.7639; Tegernsee                             ;Bayern
04997; 19941001; 20111231;            196;     50.9771;   12.3419; Starkenberg-Tegkwitz                  ;Thüringen
05009; 19470101; 20111231;             33;     53.7610;   12.5574; Teterow                               ;Mecklenburg-Vorpommern
05014; 19520101; 20111231;              7;     53.2758;    8.9857; Worpswede-Hüttenbusch                 ;Niedersachsen
05017; 19490101; 20111231;            633;     50.4002;   11.3888; Teuschnitz                            ;Bayern
05029; 19750601; 20020331;            387;     49.4737;    7.0385; Tholey                                ;Saarland
05032; 19860501; 20031231;            197;     49.8850;    9.8469; Thüngersheim                          ;Bayern
05039; 19680301; 19981231;            236;     50.8430;   10.1613; Tiefenort                             ;Thüringen
05046; 19670101; 20111231;            501;     49.8576;   12.3542; Tirschenreuth-Lodermühl               ;Bayern
05047; 19510101; 19951231;            870;     47.9394;    8.1933; Titisee-Neustadt-Langenordnach        ;Baden-Württemberg
